region,deployment_type,model_full,is_available,model,version,gdpr_region,global_deployment,usable_in_gdpr
francecentral,datazone-standard,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
francecentral,datazone-provisioned-managed,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
francecentral,datazone-standard,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
francecentral,provisioned-models,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
francecentral,datazone-provisioned-managed,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
francecentral,datazone-standard,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
francecentral,datazone-provisioned-managed,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
francecentral,datazone-standard,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
francecentral,standard-embeddings,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
francecentral,standard-models,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
francecentral,standard-embeddings,"text-embedding-ada-002, 2",True,text-embedding-ada-002,2,True,False,True
francecentral,standard-models,"text-embedding-ada-002, 2",True,text-embedding-ada-002,2,True,False,True
germanywestcentral,provisioned-models,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
germanywestcentral,provisioned-models,"gpt-4, 0125-preview",True,gpt-4,0125-preview,True,False,True
germanywestcentral,provisioned-models,"gpt-4, 0613",True,gpt-4,0613,True,False,True
germanywestcentral,provisioned-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
germanywestcentral,provisioned-models,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,True,False,True
germanywestcentral,provisioned-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
germanywestcentral,datazone-provisioned-managed,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
germanywestcentral,datazone-standard,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
germanywestcentral,provisioned-models,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
germanywestcentral,datazone-provisioned-managed,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
germanywestcentral,datazone-standard,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
germanywestcentral,provisioned-models,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
germanywestcentral,datazone-provisioned-managed,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
germanywestcentral,datazone-standard,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
germanywestcentral,datazone-provisioned-managed,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
germanywestcentral,datazone-standard,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
germanywestcentral,datazone-provisioned-managed,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
germanywestcentral,datazone-standard,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
germanywestcentral,datazone-provisioned-managed,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
germanywestcentral,datazone-standard,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
italynorth,datazone-standard,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
italynorth,datazone-standard,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
italynorth,datazone-standard,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
italynorth,datazone-standard,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
polandcentral,provisioned-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
polandcentral,provisioned-models,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
polandcentral,provisioned-models,"gpt-4, 0125-preview",True,gpt-4,0125-preview,True,False,True
polandcentral,provisioned-models,"gpt-4, 0613",True,gpt-4,0613,True,False,True
polandcentral,provisioned-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
polandcentral,provisioned-models,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,True,False,True
polandcentral,provisioned-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
polandcentral,datazone-provisioned-managed,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
polandcentral,datazone-standard,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
polandcentral,provisioned-models,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
polandcentral,datazone-provisioned-managed,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
polandcentral,datazone-standard,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
polandcentral,datazone-provisioned-managed,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
polandcentral,datazone-standard,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
polandcentral,datazone-provisioned-managed,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
polandcentral,datazone-standard,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
polandcentral,datazone-provisioned-managed,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
polandcentral,datazone-standard,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
polandcentral,datazone-provisioned-managed,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
polandcentral,datazone-standard,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
polandcentral,standard-embeddings,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
polandcentral,standard-models,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
spaincentral,provisioned-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
spaincentral,datazone-provisioned-managed,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
spaincentral,datazone-standard,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
spaincentral,provisioned-models,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
spaincentral,datazone-provisioned-managed,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
spaincentral,datazone-standard,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
spaincentral,provisioned-models,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
spaincentral,datazone-provisioned-managed,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
spaincentral,datazone-standard,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
spaincentral,datazone-provisioned-managed,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
spaincentral,datazone-standard,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
spaincentral,provisioned-models,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
spaincentral,datazone-provisioned-managed,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
spaincentral,datazone-standard,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
spaincentral,datazone-provisioned-managed,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
spaincentral,datazone-standard,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
spaincentral,standard-embeddings,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
spaincentral,standard-models,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
swedencentral,standard-image-generation,"dall-e-3, 3.0",True,dall-e-3,3.0,True,False,True
swedencentral,standard-models,"dall-e-3, 3.0",True,dall-e-3,3.0,True,False,True
swedencentral,provisioned-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
swedencentral,standard-chat-completions,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
swedencentral,standard-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
swedencentral,standard-gpt-35-turbo,"gpt-35-turbo, 0613",True,gpt-35-turbo,0613,True,False,True
swedencentral,provisioned-models,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
swedencentral,standard-chat-completions,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
swedencentral,standard-gpt-35-turbo,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
swedencentral,standard-models,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,True,False,True
swedencentral,standard-chat-completions,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,True,False,True
swedencentral,standard-gpt-35-turbo,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,True,False,True
swedencentral,standard-models,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,True,False,True
swedencentral,standard-completions,"gpt-35-turbo-instruct, 0914",True,gpt-35-turbo-instruct,0914,True,False,True
swedencentral,standard-gpt-35-turbo,"gpt-35-turbo-instruct, 0914",True,gpt-35-turbo-instruct,0914,True,False,True
swedencentral,standard-models,"gpt-35-turbo-instruct, 0914",True,gpt-35-turbo-instruct,0914,True,False,True
swedencentral,provisioned-models,"gpt-4, 0125-preview",True,gpt-4,0125-preview,True,False,True
swedencentral,provisioned-models,"gpt-4, 0613",True,gpt-4,0613,True,False,True
swedencentral,standard-chat-completions,"gpt-4, 0613",True,gpt-4,0613,True,False,True
swedencentral,standard-gpt-4,"gpt-4, 0613",True,gpt-4,0613,True,False,True
swedencentral,standard-models,"gpt-4, 0613",True,gpt-4,0613,True,False,True
swedencentral,provisioned-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
swedencentral,standard-chat-completions,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
swedencentral,standard-gpt-4,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
swedencentral,standard-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,True,False,True
swedencentral,provisioned-models,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,True,False,True
swedencentral,standard-chat-completions,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,True,False,True
swedencentral,standard-gpt-4,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,True,False,True
swedencentral,standard-models,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,True,False,True
swedencentral,standard-chat-completions,"gpt-4, vision-preview",True,gpt-4,vision-preview,True,False,True
swedencentral,standard-gpt-4,"gpt-4, vision-preview",True,gpt-4,vision-preview,True,False,True
swedencentral,standard-models,"gpt-4, vision-preview",True,gpt-4,vision-preview,True,False,True
swedencentral,provisioned-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
swedencentral,standard-chat-completions,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
swedencentral,standard-gpt-4,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
swedencentral,standard-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,True,False,True
swedencentral,datazone-provisioned-managed,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
swedencentral,datazone-standard,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
swedencentral,provisioned-models,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
swedencentral,standard-chat-completions,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
swedencentral,standard-gpt-4,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
swedencentral,standard-models,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
swedencentral,datazone-provisioned-managed,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
swedencentral,datazone-standard,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
swedencentral,provisioned-models,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
swedencentral,standard-chat-completions,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
swedencentral,standard-gpt-4,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
swedencentral,standard-models,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
swedencentral,datazone-provisioned-managed,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
swedencentral,datazone-standard,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
swedencentral,provisioned-models,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
swedencentral,standard-chat-completions,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
swedencentral,standard-models,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
swedencentral,datazone-provisioned-managed,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
swedencentral,datazone-standard,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
swedencentral,provisioned-models,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
swedencentral,standard-chat-completions,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
swedencentral,standard-gpt-4,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
swedencentral,standard-models,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
swedencentral,datazone-provisioned-managed,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
swedencentral,datazone-standard,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
swedencentral,standard-chat-completions,"o1-mini, 2024-09-12",True,o1-mini,2024-09-12,True,False,True
swedencentral,standard-models,"o1-mini, 2024-09-12",True,o1-mini,2024-09-12,True,False,True
swedencentral,standard-chat-completions,"o1-preview, 2024-09-12",True,o1-preview,2024-09-12,True,False,True
swedencentral,standard-models,"o1-preview, 2024-09-12",True,o1-preview,2024-09-12,True,False,True
swedencentral,datazone-provisioned-managed,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
swedencentral,datazone-standard,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
swedencentral,standard-embeddings,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
swedencentral,standard-models,"text-embedding-3-large, 1",True,text-embedding-3-large,1,True,False,True
swedencentral,standard-embeddings,"text-embedding-ada-002, 2",True,text-embedding-ada-002,2,True,False,True
swedencentral,standard-models,"text-embedding-ada-002, 2",True,text-embedding-ada-002,2,True,False,True
swedencentral,standard-audio,"tts, 001",True,tts,001,True,False,True
swedencentral,standard-models,"tts, 001",True,tts,001,True,False,True
swedencentral,standard-audio,"tts-hd, 001",True,tts-hd,001,True,False,True
swedencentral,standard-models,"tts-hd, 001",True,tts-hd,001,True,False,True
swedencentral,standard-audio,"whisper, 001",True,whisper,001,True,False,True
swedencentral,standard-models,"whisper, 001",True,whisper,001,True,False,True
westeurope,standard-chat-completions,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
westeurope,standard-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,True,False,True
westeurope,standard-gpt-35-turbo,"gpt-35-turbo, 0301",True,gpt-35-turbo,0301,True,False,True
westeurope,datazone-provisioned-managed,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
westeurope,datazone-standard,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,True,False,True
westeurope,datazone-provisioned-managed,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
westeurope,datazone-standard,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,True,False,True
westeurope,datazone-provisioned-managed,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
westeurope,datazone-standard,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
westeurope,provisioned-models,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,True,False,True
westeurope,datazone-provisioned-managed,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
westeurope,datazone-standard,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,True,False,True
westeurope,datazone-provisioned-managed,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
westeurope,datazone-standard,"o1, 2024-12-17",True,o1,2024-12-17,True,False,True
westeurope,datazone-provisioned-managed,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
westeurope,datazone-standard,"o3-mini, 2025-01-31",True,o3-mini,2025-01-31,True,False,True
westeurope,standard-embeddings,"text-embedding-ada-002, 2",True,text-embedding-ada-002,2,True,False,True
westeurope,standard-models,"text-embedding-ada-002, 2",True,text-embedding-ada-002,2,True,False,True
westeurope,standard-audio,"whisper, 001",True,whisper,001,True,False,True
westeurope,standard-models,"whisper, 001",True,whisper,001,True,False,True
australiaeast,standard-image-generation,"dall-e-3, 3.0",True,dall-e-3,3.0,False,False,False
australiaeast,standard-models,"dall-e-3, 3.0",True,dall-e-3,3.0,False,False,False
australiaeast,global-batch,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,False,True,False
australiaeast,provisioned-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,False,False,False
australiaeast,standard-chat-completions,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,False,False,False
australiaeast,standard-gpt-35-turbo,"gpt-35-turbo, 0125",False,gpt-35-turbo,0125,False,False,False
australiaeast,standard-models,"gpt-35-turbo, 0125",True,gpt-35-turbo,0125,False,False,False
australiaeast,standard-gpt-35-turbo,"gpt-35-turbo, 0301",False,gpt-35-turbo,0301,False,False,False
australiaeast,global-batch,"gpt-35-turbo, 0613",True,gpt-35-turbo,0613,False,True,False
australiaeast,standard-gpt-35-turbo,"gpt-35-turbo, 0613",True,gpt-35-turbo,0613,False,False,False
australiaeast,global-batch,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,False,True,False
australiaeast,provisioned-models,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,False,False,False
australiaeast,standard-chat-completions,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,False,False,False
australiaeast,standard-gpt-35-turbo,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,False,False,False
australiaeast,standard-models,"gpt-35-turbo, 1106",True,gpt-35-turbo,1106,False,False,False
australiaeast,standard-chat-completions,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,False,False,False
australiaeast,standard-gpt-35-turbo,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,False,False,False
australiaeast,standard-models,"gpt-35-turbo-16k, 0613",True,gpt-35-turbo-16k,0613,False,False,False
australiaeast,standard-gpt-35-turbo,"gpt-35-turbo-instruct, 0914",False,gpt-35-turbo-instruct,0914,False,False,False
australiaeast,standard-models,"gpt-35-turbo-instruct, 0914",False,gpt-35-turbo-instruct,0914,False,False,False
australiaeast,provisioned-models,"gpt-4, 0125-preview",True,gpt-4,0125-preview,False,False,False
australiaeast,standard-chat-completions,"gpt-4, 0125-preview",False,gpt-4,0125-preview,False,False,False
australiaeast,standard-gpt-4,"gpt-4, 0125-preview",False,gpt-4,0125-preview,False,False,False
australiaeast,standard-models,"gpt-4, 0125-preview",False,gpt-4,0125-preview,False,False,False
australiaeast,global-batch,"gpt-4, 0613",True,gpt-4,0613,False,True,False
australiaeast,provisioned-models,"gpt-4, 0613",True,gpt-4,0613,False,False,False
australiaeast,standard-chat-completions,"gpt-4, 0613",True,gpt-4,0613,False,False,False
australiaeast,standard-gpt-4,"gpt-4, 0613",True,gpt-4,0613,False,False,False
australiaeast,standard-models,"gpt-4, 0613",True,gpt-4,0613,False,False,False
australiaeast,provisioned-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,False,False,False
australiaeast,standard-chat-completions,"gpt-4, 1106-preview",True,gpt-4,1106-preview,False,False,False
australiaeast,standard-gpt-4,"gpt-4, 1106-preview",True,gpt-4,1106-preview,False,False,False
australiaeast,standard-models,"gpt-4, 1106-preview",True,gpt-4,1106-preview,False,False,False
australiaeast,global-batch,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,False,True,False
australiaeast,provisioned-models,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,False,False,False
australiaeast,standard-chat-completions,"gpt-4, turbo-2024-04-09",False,gpt-4,turbo-2024-04-09,False,False,False
australiaeast,standard-global,"gpt-4, turbo-2024-04-09",True,gpt-4,turbo-2024-04-09,False,True,False
australiaeast,standard-gpt-4,"gpt-4, turbo-2024-04-09",False,gpt-4,turbo-2024-04-09,False,False,False
australiaeast,standard-models,"gpt-4, turbo-2024-04-09",False,gpt-4,turbo-2024-04-09,False,False,False
australiaeast,standard-chat-completions,"gpt-4, vision-preview",True,gpt-4,vision-preview,False,False,False
australiaeast,standard-gpt-4,"gpt-4, vision-preview",True,gpt-4,vision-preview,False,False,False
australiaeast,standard-models,"gpt-4, vision-preview",True,gpt-4,vision-preview,False,False,False
australiaeast,provisioned-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,False,False,False
australiaeast,standard-chat-completions,"gpt-4-32k, 0613",True,gpt-4-32k,0613,False,False,False
australiaeast,standard-gpt-4,"gpt-4-32k, 0613",True,gpt-4-32k,0613,False,False,False
australiaeast,standard-models,"gpt-4-32k, 0613",True,gpt-4-32k,0613,False,False,False
australiaeast,standard-global,"gpt-4.1, 2025-04-14",False,gpt-4.1,2025-04-14,False,True,False
australiaeast,standard-global,"gpt-4.5-preview, 2025-02-27",False,gpt-4.5-preview,2025-02-27,False,True,False
australiaeast,global-batch,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,False,True,False
australiaeast,provisioned-global,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,False,True,False
australiaeast,provisioned-models,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,False,False,False
australiaeast,standard-chat-completions,"gpt-4o, 2024-05-13",False,gpt-4o,2024-05-13,False,False,False
australiaeast,standard-global,"gpt-4o, 2024-05-13",True,gpt-4o,2024-05-13,False,True,False
australiaeast,standard-gpt-4,"gpt-4o, 2024-05-13",False,gpt-4o,2024-05-13,False,False,False
australiaeast,standard-models,"gpt-4o, 2024-05-13",False,gpt-4o,2024-05-13,False,False,False
australiaeast,global-batch,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,False,True,False
australiaeast,provisioned-global,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,False,True,False
australiaeast,provisioned-models,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,False,False,False
australiaeast,standard-chat-completions,"gpt-4o, 2024-08-06",False,gpt-4o,2024-08-06,False,False,False
australiaeast,standard-global,"gpt-4o, 2024-08-06",True,gpt-4o,2024-08-06,False,True,False
australiaeast,standard-gpt-4,"gpt-4o, 2024-08-06",False,gpt-4o,2024-08-06,False,False,False
australiaeast,standard-models,"gpt-4o, 2024-08-06",False,gpt-4o,2024-08-06,False,False,False
australiaeast,global-batch,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,False,True,False
australiaeast,provisioned-global,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,False,True,False
australiaeast,provisioned-models,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,False,False,False
australiaeast,standard-chat-completions,"gpt-4o, 2024-11-20",False,gpt-4o,2024-11-20,False,False,False
australiaeast,standard-global,"gpt-4o, 2024-11-20",True,gpt-4o,2024-11-20,False,True,False
australiaeast,standard-models,"gpt-4o, 2024-11-20",False,gpt-4o,2024-11-20,False,False,False
australiaeast,standard-global,"gpt-4o-audio-preview, 2024-12-17",False,gpt-4o-audio-preview,2024-12-17,False,True,False
australiaeast,global-batch,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,False,True,False
australiaeast,provisioned-global,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,False,True,False
australiaeast,provisioned-models,"gpt-4o-mini, 2024-07-18",True,gpt-4o-mini,2024-07-18,False,False,False
australiaeast,standard-chat-completions,"gpt-4o-mini, 2024-07-18",False,gpt-4o-mini,2024-07-18,False,False,False
